                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    139,                0.33688,                0.28467,                0.87718,                0.95127,                0.80841,                0.88157,                0.80005,                0.47576,                0.31221,                0.89323,               0.004702,               0.004702,               0.004702
                    140,                0.33009,                0.28213,                0.87261,                0.95063,                0.80829,                0.88086,                0.80002,                0.47569,                0.31219,                 0.8932,              0.0046633,              0.0046633,              0.0046633
                    141,                0.34298,                0.29319,                0.87928,                0.95475,                0.80568,                0.88081,                0.80002,                 0.4761,                0.31236,                0.89337,              0.0046246,              0.0046246,              0.0046246
                    142,                0.33688,                0.28575,                0.87669,                0.95053,                0.80734,                0.88124,                0.79999,                0.47626,                0.31216,                0.89347,              0.0045859,              0.0045859,              0.0045859
                    143,                0.33623,                0.28715,                 0.8763,                0.95587,                0.80561,                0.88021,                0.79938,                0.47622,                0.31208,                0.89356,              0.0045473,              0.0045473,              0.0045473
                    144,                0.32702,                0.28093,                0.87191,                0.95589,                0.80576,                0.88082,                0.79973,                0.47634,                0.31167,                0.89358,              0.0045086,              0.0045086,              0.0045086
                    145,                0.33982,                0.28748,                0.87653,                0.95694,                0.80521,                 0.8809,                0.80002,                0.47646,                0.31162,                0.89364,              0.0044699,              0.0044699,              0.0044699
                    146,                 0.3317,                0.27897,                0.87351,                0.95692,                0.80552,                0.88059,                0.80018,                0.47641,                0.31162,                 0.8936,              0.0044313,              0.0044313,              0.0044313
                    147,                 0.3344,                0.27986,                0.87453,                0.95608,                0.80568,                0.88062,                0.80033,                0.47641,                0.31173,                0.89359,              0.0043926,              0.0043926,              0.0043926
                    148,                0.33084,                0.27924,                 0.8719,                0.95653,                0.80543,                0.88061,                0.80023,                0.47629,                0.31144,                0.89357,              0.0043539,              0.0043539,              0.0043539
                    149,                0.33919,                0.28421,                0.87538,                0.95594,                0.80556,                 0.8803,                0.80015,                0.47631,                0.31145,                0.89363,              0.0043152,              0.0043152,              0.0043152
                    150,                0.33135,                 0.2793,                0.87422,                0.95426,                0.80607,                0.88133,                0.80028,                0.47679,                0.31132,                0.89399,              0.0042766,              0.0042766,              0.0042766
                    151,                0.33327,                0.28401,                0.87597,                0.95627,                0.80646,                0.88147,                0.80015,                0.47669,                0.31148,                0.89408,              0.0042379,              0.0042379,              0.0042379
                    152,                0.33119,                0.28032,                 0.8739,                 0.9582,                0.80482,                0.88142,                0.80047,                0.47656,                0.31154,                0.89409,              0.0041992,              0.0041992,              0.0041992
